City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,51.15,53,67,22.73,SH,1690425679
1,suva,-18.1416,178.4415,67.48,94,100,6.91,FJ,1690425730
2,port macquarie,-31.4333,152.9167,69.89,53,0,8.84,AU,1690425730
3,mainvilliers,48.45,1.4561,63.88,87,95,7.0,FR,1690425730
4,ilulissat,69.2167,-51.1,46.42,66,0,4.61,GL,1690425730
5,port-aux-francais,-49.35,70.2167,40.14,75,93,34.87,TF,1690425677
6,udachny,66.4167,112.4,70.45,56,100,9.26,RU,1690425730
7,isafjordur,66.0755,-23.124,44.33,88,98,11.83,IS,1690425688
8,oban,56.4127,-5.4706,55.38,94,100,5.14,GB,1690425730
9,adamstown,-25.066,-130.1015,67.5,61,32,13.49,PN,1690425731
10,papatowai,-46.5619,169.4708,43.59,79,100,21.61,NZ,1690425712
11,longyearbyen,78.2186,15.6401,49.84,76,75,4.61,SJ,1690425731
12,port mathurin,-19.6833,63.4167,74.68,78,38,17.4,MU,1690425731
13,whitehorse,60.7161,-135.0538,69.31,62,100,15.01,CA,1690425731
14,stanley,54.868,-1.6985,56.28,94,75,3.44,GB,1690425731
15,grytviken,-54.2811,-36.5092,33.46,99,100,11.72,GS,1690425731
16,st. john's,47.5649,-52.7093,66.27,83,100,20.71,CA,1690425731
17,lautoka,-17.6167,177.4667,71.46,88,100,5.75,FJ,1690425731
18,xilin hot,43.9667,116.0333,81.61,45,1,6.64,CN,1690425732
19,olonkinbyen,70.9221,-8.7187,40.35,89,100,10.31,SJ,1690425732
20,portland,45.5234,-122.6762,81.45,38,75,10.36,US,1690425164
21,altamira,-3.2033,-52.2064,73.49,100,0,0.0,BR,1690425732
22,hammerfest,70.6634,23.6821,52.25,87,100,6.91,NO,1690425732
23,tiksi,71.6872,128.8694,45.86,72,37,6.71,RU,1690425732
24,invercargill,-46.4,168.35,45.28,75,100,15.55,NZ,1690425732
25,sechura,-5.5569,-80.8222,71.71,76,2,14.79,PE,1690425732
26,menongue,-14.6585,17.691,52.84,50,2,5.82,AO,1690425732
27,yellowknife,62.456,-114.3525,75.72,33,20,13.8,CA,1690425685
28,port lincoln,-34.7333,135.8667,64.98,58,100,20.47,AU,1690425531
29,callao,-12.0667,-77.15,67.71,82,100,9.22,PE,1690425733
30,siem reap,13.5,104.0,83.95,64,89,11.27,KH,1690425733
31,georgetown,5.4112,100.3354,85.95,83,40,3.44,MY,1690425733
32,zuru,11.4241,5.2288,76.78,80,89,4.56,NG,1690425733
33,kralendijk,12.15,-68.2667,82.38,89,20,14.97,BQ,1690425733
34,nuuk,64.1835,-51.7216,41.61,100,100,14.97,GL,1690425733
35,wailua homesteads,22.0669,-159.378,84.63,78,75,16.11,US,1690425733
36,naracoorte,-36.9579,140.7383,62.06,55,28,15.28,AU,1690425733
37,iqaluit,63.7506,-68.5145,44.33,87,40,3.44,CA,1690425682
38,zheleznodorozhnyy,55.7503,38.0042,63.12,86,87,2.21,RU,1690425733
39,avarua,-21.2078,-159.775,75.25,69,75,4.61,CK,1690425734
40,forster,-32.1667,152.5167,65.37,66,0,6.4,AU,1690425734
41,akureyri,65.6835,-18.0878,48.13,76,100,4.61,IS,1690425734
42,albany,42.6001,-73.9662,75.85,82,100,4.81,US,1690425602
43,hovd,48.0056,91.6419,75.94,27,99,4.5,MN,1690425734
44,kidal,18.4411,1.4078,89.91,37,89,7.11,ML,1690425734
45,tura,25.5198,90.2201,77.83,94,99,5.95,IN,1690425734
46,takoradi,4.8845,-1.7554,75.24,93,87,5.35,GH,1690425734
47,margaret river,-33.95,115.0667,57.33,63,98,13.65,AU,1690425734
48,prince rupert,54.3161,-130.3201,62.69,82,20,11.5,CA,1690425611
49,holualoa,19.6228,-155.9522,80.55,81,40,12.66,US,1690425734
50,puerto natales,-51.7236,-72.4875,29.01,92,100,2.1,CL,1690425734
51,ambodifotatra,-16.9833,49.85,72.5,73,86,24.72,MG,1690425735
52,margate,51.3813,1.3862,61.9,94,100,8.01,GB,1690425441
53,la sarre,48.8002,-79.1996,61.38,99,98,4.99,CA,1690425735
54,kegen,43.0197,79.2203,79.02,24,55,0.98,KZ,1690425735
55,turpan,42.9333,89.1667,107.11,8,0,6.06,CN,1690425735
56,blackmans bay,-43.0167,147.3167,55.72,70,100,4.74,AU,1690425735
57,san sperate,39.3583,9.0022,69.64,77,0,6.91,IT,1690425735
58,dek'emhare,15.07,39.0475,62.64,85,85,6.78,ER,1690425735
59,thompson,55.7435,-97.8558,57.36,82,100,2.3,CA,1690425691
60,sokhumi,43.0033,41.0153,73.65,56,0,5.37,GE,1690425735
61,west island,-12.1568,96.8225,76.98,83,75,23.02,CC,1690425736
62,nemuro,43.3236,145.575,68.13,90,100,8.77,JP,1690425736
63,anadyr,64.75,177.4833,55.9,82,75,11.18,RU,1690425736
64,waitangi,-43.9535,-176.5597,47.82,87,88,4.0,NZ,1690425736
65,arraial do cabo,-22.9661,-42.0278,69.87,89,48,20.69,BR,1690425736
66,vorgashor,67.5833,63.95,57.02,86,100,2.55,RU,1690425736
67,hawaiian paradise park,19.5933,-154.9731,81.91,86,75,9.22,US,1690425736
68,hermanus,-34.4187,19.2345,53.1,84,0,6.76,ZA,1690425736
69,tsiombe,-25.3,45.4833,64.45,58,0,12.53,MG,1690425737
70,lat yao,15.751,99.7893,91.78,54,85,5.41,TH,1690425737
71,phan rang-thap cham,11.5667,108.9833,89.6,59,100,11.18,VN,1690425493
72,ushuaia,-54.8,-68.3,31.66,69,0,5.75,AR,1690425737
73,saipan,15.1355,145.701,83.1,100,40,12.66,MP,1690425737
74,keflavik,64.0049,-22.5624,49.91,93,20,11.5,IS,1690425737
75,pudozh,61.8099,36.5345,56.93,93,97,2.26,RU,1690425737
76,fortuna,40.5982,-124.1573,61.36,80,0,12.66,US,1690425704
77,champerico,14.3,-91.9167,83.73,72,16,4.41,GT,1690425738
78,kodiak,57.79,-152.4072,58.51,82,100,6.91,US,1690425638
79,punta arenas,-53.15,-70.9167,30.51,79,22,8.14,CL,1690425439
80,fort abbas,29.1925,72.8536,83.84,81,100,3.62,PK,1690425738
81,sitka,57.0531,-135.33,60.69,82,100,3.44,US,1690425738
82,corfu,39.62,19.9197,76.82,65,20,8.05,GR,1690425678
83,port elizabeth,-33.918,25.5701,57.49,77,0,10.36,ZA,1690425738
84,princeville,45.7668,-61.2985,72.25,83,0,10.36,CA,1690425738
85,carnarvon,-24.8667,113.6333,64.04,51,20,17.76,AU,1690425738
86,griffith,41.5284,-87.4237,84.25,84,40,8.05,US,1690425738
87,tillaberi,14.2117,1.4531,89.26,48,98,15.35,NE,1690425739
88,kapit,2.0167,112.9333,91.67,52,38,1.88,MY,1690425739
89,ribeira grande,38.5167,-28.7,73.78,96,51,5.01,PT,1690425714
90,palmer,42.1584,-72.3287,75.61,72,40,10.36,US,1690425599
91,lompoc,34.6391,-120.4579,73.54,89,100,10.36,US,1690425739
92,saint-pierre,-21.3393,55.4781,65.88,82,75,5.75,RE,1690425740
93,rundu,-17.9333,19.7667,54.61,51,0,4.0,NA,1690425740
94,meulaboh,4.1363,96.1285,82.35,75,91,2.13,ID,1690425740
95,ndele,8.4109,20.6473,69.33,98,100,2.19,CF,1690425740
96,college,64.8569,-147.8028,85.59,54,75,3.0,US,1690425740
97,tolanaro,-25.0319,46.9987,62.67,82,75,8.05,MG,1690425740
98,carroll,39.5501,-77.0164,79.92,83,14,4.0,US,1690425740
99,zaozersk,69.4005,32.4476,51.37,93,100,1.45,RU,1690425741
100,happy valley-goose bay,53.3168,-60.3315,68.31,60,75,0.0,CA,1690425741
101,bethel,41.3712,-73.414,77.31,78,0,8.05,US,1690425741
102,point pedro,9.8167,80.2333,83.08,76,79,17.96,LK,1690425741
103,puerto ayora,-0.7393,-90.3518,76.55,93,78,7.0,EC,1690425741
104,kushima,31.4583,131.2333,88.14,67,31,8.41,JP,1690425561
105,tarko-sale,64.9225,77.785,75.58,54,96,8.41,RU,1690425741
106,mana,5.6592,-53.7767,78.24,85,100,7.38,GF,1690425741
107,mount pearl,47.5166,-52.7813,65.44,83,100,20.71,CA,1690425684
108,palangkaraya,-2.2,113.8333,87.17,53,87,4.0,ID,1690425742
109,acarau,-2.8856,-40.12,77.88,84,11,15.46,BR,1690425742
110,tabuan,9.5156,122.8506,83.62,75,98,14.27,PH,1690425742
111,moose jaw,50.4001,-105.5344,68.47,34,0,7.96,CA,1690425742
112,enriquillo,17.9,-71.2333,79.72,83,100,13.67,DO,1690425742
113,haiku-pauwela,20.9219,-156.3051,83.17,69,40,25.32,US,1690425713
114,cidreira,-30.1811,-50.2056,58.53,83,53,14.2,BR,1690425742
115,wangqing,43.3218,129.7634,87.93,51,35,4.54,CN,1690425742
116,lihue,21.9789,-159.3672,85.24,72,75,16.11,US,1690425742
117,turkmenbasy,40.0222,52.9552,70.57,88,20,2.3,TM,1690425742
118,qaqortoq,60.7167,-46.0333,44.56,81,92,6.26,GL,1690425704
119,labrador city,52.9463,-66.9114,53.51,94,75,3.44,CA,1690425743
120,utrik,11.2278,169.8474,82.31,80,100,17.58,MH,1690425743
121,kogalym,62.2654,74.4791,68.27,71,10,4.47,RU,1690425743
122,antonio enes,-16.2325,39.9086,66.78,78,0,10.18,MZ,1690425743
123,thinadhoo,0.5333,72.9333,83.66,76,100,14.74,MV,1690425743
124,slavske,48.8473,23.4459,46.81,97,100,3.98,UA,1690425743
125,bredasdorp,-34.5322,20.0403,47.68,91,0,4.52,ZA,1690425743
126,gisborne,-38.6533,178.0042,55.04,64,44,10.47,NZ,1690425743
127,mburucuya,-28.0454,-58.2245,52.32,85,74,6.2,AR,1690425743
128,tlahualilo de zaragoza,26.1167,-103.45,87.21,27,35,19.42,MX,1690425744
129,maintirano,-18.0667,44.0167,69.22,70,62,3.85,MG,1690425744
130,vryburg,-26.9566,24.7284,49.03,72,2,9.17,ZA,1690425744
131,westport,41.1415,-73.3579,78.78,79,0,6.91,US,1690425744
132,concepcion,-36.827,-73.0498,46.2,100,43,0.0,CL,1690425725
133,dakhla,23.6848,-15.958,67.46,91,0,23.6,EH,1690425638
134,mejit,10.2753,170.8646,82.58,80,100,16.82,MH,1690425744
135,laela,-8.5667,32.05,50.27,71,49,2.59,TZ,1690425744
136,port saint john's,-31.6229,29.5448,65.68,67,60,11.63,ZA,1690425744
137,rurrenabaque,-14.4413,-67.5278,74.14,76,72,2.06,BO,1690425745
138,djenne,13.9061,-4.5533,87.3,54,100,9.46,ML,1690425745
139,puerto baquerizo moreno,-0.9,-89.6,75.24,80,90,12.5,EC,1690425745
140,saint-joseph,-21.3667,55.6167,64.78,81,79,9.42,RE,1690425745
141,simpang,-1.2667,104.0833,85.84,64,38,6.85,ID,1690425745
142,ancud,-41.8697,-73.8203,46.36,92,100,6.31,CL,1690425745
143,lamu,-2.2717,40.902,73.62,84,99,11.77,KE,1690425745
144,podgornoye,51.735,39.1496,66.42,94,93,4.47,RU,1690425745
145,yinchuan,38.4681,106.2731,75.74,55,100,11.77,CN,1690425555
146,sittwe,20.15,92.9,83.84,81,98,9.24,MM,1690425746
147,levuka,50.1834,-105.4011,71.42,33,10,7.58,CA,1690425746
148,la mira,18.035,-102.3266,81.05,81,74,4.99,MX,1690425746
149,kapa'a,22.0752,-159.319,85.98,78,75,16.11,US,1690425746
150,libenge,3.65,18.6333,69.6,97,100,2.91,CD,1690425746
151,atafu village,-8.5421,-172.5159,83.37,75,100,17.96,TK,1690425746
152,bayganin,48.6947,55.8742,78.44,42,1,5.68,KZ,1690425746
153,bilibino,68.0546,166.4372,52.43,69,100,3.6,RU,1690425701
154,stupino,54.9008,38.0708,60.21,93,71,1.95,RU,1690425746
155,rasht,37.2808,49.5832,69.62,100,0,0.0,IR,1690425496
156,auki,-8.7676,160.7034,78.66,91,100,4.41,SB,1690425747
157,naolinco de victoria,19.65,-96.85,60.75,95,100,3.06,MX,1690425747
158,wynyard,-41.0,145.7167,54.54,75,100,9.04,AU,1690425747
159,uturoa,-16.7333,-151.4333,78.4,83,50,8.1,PF,1690425747
160,bubaque,11.2833,-15.8333,81.46,81,100,11.95,GW,1690425747
161,yayva,59.3303,57.2641,60.17,74,80,3.4,RU,1690425747
162,lebu,-37.6167,-73.65,47.55,85,90,0.43,CL,1690425747
163,kruisfontein,-34.0033,24.7314,48.88,88,64,7.07,ZA,1690425748
164,arawa,-6.2132,155.5367,86.54,71,93,4.97,PG,1690425748
165,fale old settlement,-9.3852,-171.2468,83.34,73,39,17.07,TK,1690425748
166,belmonte,-15.8631,-38.8828,72.0,74,40,6.15,BR,1690425748
167,talnakh,69.4865,88.3972,79.21,48,65,6.04,RU,1690425748
168,yigo village,13.5361,144.8886,79.92,94,40,11.5,GU,1690425748
169,arkhangel'sk,64.5401,40.5433,59.68,83,100,3.11,RU,1690425749
170,pekanbaru,0.5333,101.45,84.52,74,20,9.22,ID,1690425749
171,nar'yan-mar,67.6713,53.087,66.33,63,84,2.89,RU,1690425749
172,barra de santo antonio,-9.4047,-35.5072,69.08,83,39,3.15,BR,1690425749
173,nantucket,41.2835,-70.0995,75.99,96,7,15.43,US,1690425749
174,hotan,37.0997,79.9269,86.47,26,55,3.67,CN,1690425749
175,ust-tsilma,65.441,52.1498,61.59,81,92,3.06,RU,1690425725
176,esfarayen,37.0765,57.5101,65.86,66,27,7.23,IR,1690425750
177,nabire,-3.3667,135.4833,87.69,61,78,3.56,ID,1690425750
178,malaga,36.7202,-4.4203,77.74,78,20,1.01,ES,1690425750
179,buka,40.8108,69.1986,93.43,13,3,11.25,UZ,1690425750
180,vicuna,-30.0319,-70.7081,47.93,48,100,1.16,CL,1690425750
181,constantia,44.1833,28.65,68.7,88,99,15.41,RO,1690425750
182,kisesa,-3.0833,34.15,59.99,61,44,8.23,TZ,1690425750
183,minas de marcona,-15.2119,-75.1103,54.03,87,48,10.96,PE,1690425750
184,sinabang,2.4803,96.3801,84.13,71,79,3.15,ID,1690425750
185,cholpon-ata,42.6494,77.0823,75.25,55,91,1.39,KG,1690425751
186,nadi,-17.8,177.4167,71.6,88,100,5.75,FJ,1690425751
187,skovorodino,53.9833,123.9167,83.97,42,99,7.56,RU,1690425751
188,mantua,45.1667,10.7833,67.24,77,8,5.01,IT,1690425751
189,oranjemund,-28.55,16.4333,52.25,72,0,5.5,NA,1690425726
190,bereznik,62.8551,42.7072,58.14,99,100,3.49,RU,1690425751
191,salinas,36.6777,-121.6555,67.48,83,100,17.27,US,1690425719
192,pozanti,37.4278,34.8717,73.0,28,0,5.12,TR,1690425751
193,kencong,-8.2833,113.3667,79.23,63,16,5.1,ID,1690425752
194,xichang,27.8964,102.2634,73.08,80,98,2.04,CN,1690425752
195,singaraja,-8.112,115.0882,82.76,56,11,1.05,ID,1690425752
196,n'zeto,-7.2312,12.8666,68.58,90,4,7.49,AO,1690425752
197,kismayo,-0.3582,42.5454,75.45,82,97,14.25,SO,1690425752
198,wanning,18.8003,110.3967,90.45,57,100,0.6,CN,1690425752
199,nova xavantina,-14.6667,-52.35,72.41,42,13,1.86,BR,1690425752
200,iskateley,67.6803,53.1512,66.09,63,87,2.77,RU,1690425752
201,meadow lakes,61.6247,-149.6011,69.91,73,100,5.75,US,1690425753
202,hermansverk,61.1846,6.8502,57.16,94,100,2.51,NO,1690425753
203,maragogi,-9.0122,-35.2225,73.36,86,55,4.12,BR,1690425753
204,bodo,67.28,14.405,58.77,92,0,3.44,NO,1690425753
205,lorengau,-2.0226,147.2712,83.88,80,62,12.66,PG,1690425753
206,fort bragg,35.139,-79.006,84.78,78,0,5.75,US,1690425730
207,brookings,44.3114,-96.7984,87.8,45,0,6.91,US,1690425753
208,yuzhno-kurilsk,44.0306,145.8556,71.96,77,100,4.34,RU,1690425753
209,roxboro,36.3937,-78.9828,81.07,86,54,6.17,US,1690425753
210,corn island,12.1694,-83.0418,82.36,81,99,17.07,NI,1690425754
211,oumache,34.6929,5.6809,88.09,51,0,11.5,DZ,1690425754
212,saint-francois,46.4154,3.9054,60.24,77,75,5.75,FR,1690425754
213,bac lieu,9.285,105.7244,86.52,66,100,19.71,VN,1690425754
214,karratha,-20.7377,116.8463,72.28,49,96,13.85,AU,1690425754
215,angaur state,6.906,134.13,79.43,84,100,23.02,PW,1690425754
216,santa cruz,-17.8,-63.1667,67.46,56,75,16.11,BO,1690425009
217,prado,-17.3411,-39.2208,71.51,71,78,4.25,BR,1690425743
218,moranbah,-22.0016,148.0466,69.78,56,64,20.67,AU,1690425755
219,ha'il,27.5219,41.6907,78.82,21,0,4.61,SA,1690425755
220,usogorsk,63.4106,48.6872,62.15,68,100,7.18,RU,1690425755
221,chonchi,-42.6128,-73.8092,47.12,99,100,2.84,CL,1690425755
222,machali,-34.1833,-70.6667,51.33,56,100,2.86,CL,1690425755
223,hrubieszow,50.805,23.8925,53.38,95,100,17.67,PL,1690425755
224,nova sintra,14.8667,-24.7167,73.29,85,63,17.18,CV,1690425755
225,howrah,22.5892,88.3103,86.0,84,40,8.05,IN,1690425755
226,mugia,43.1041,-9.2179,65.91,80,97,5.1,ES,1690425756
227,rethymno,35.3647,24.4714,89.22,39,0,2.66,GR,1690425725
228,vila franca do campo,37.7167,-25.4333,68.41,86,2,4.72,PT,1690425643
229,palikir - national government center,6.9248,158.1611,86.85,70,75,9.22,FM,1690425756
230,mao,39.8885,4.2658,70.36,94,0,2.3,ES,1690425756
231,copala,16.65,-98.9833,80.19,85,32,2.66,MX,1690425749
232,thunder bay,48.4001,-89.3168,67.98,94,0,2.3,CA,1690425756
233,qobustan,40.0824,49.412,76.93,72,0,3.24,AZ,1690425756
234,new norfolk,-42.7826,147.0587,56.91,51,100,4.27,AU,1690425756
235,arauca,7.0847,-70.7591,82.4,83,75,5.75,CO,1690425756
236,sangin,32.0728,64.8359,90.45,32,5,2.37,AF,1690425756
237,whistler,50.1164,-122.9695,63.79,66,55,3.22,CA,1690425757
238,acoyapa,11.9703,-85.1711,77.76,84,100,7.27,NI,1690425757
239,taoudenni,22.6783,-3.9836,98.22,25,26,8.48,ML,1690425757
240,guazapa,13.8769,-89.1731,74.08,83,44,2.28,SV,1690425757
241,ar rutbah,33.0381,40.2848,82.2,28,0,10.02,IQ,1690425757
242,konarka,19.9,86.1167,82.8,78,51,21.34,IN,1690425757
243,remire-montjoly,4.9167,-52.2667,77.04,94,100,0.0,GF,1690425757
244,bayeux,-7.125,-34.9322,75.83,88,40,6.91,BR,1690425757
245,torghay,49.6339,63.4981,75.06,56,1,5.68,KZ,1690425757
246,gadzhiyevo,69.2551,33.3362,50.68,94,100,1.16,RU,1690425758
247,kasongo-lunda,-6.4667,16.8167,68.04,71,1,2.01,CD,1690425758
248,bamboo flat,11.7,92.7167,84.29,84,40,11.5,IN,1690425711
249,hithadhoo,-0.6,73.0833,82.96,78,37,16.06,MV,1690425758
250,leskovac,42.9981,21.9461,60.39,87,93,3.47,RS,1690425758
251,wellawaya,6.7318,81.1018,85.5,54,100,8.08,LK,1690425758
252,siwa oasis,29.2041,25.5195,84.27,32,2,5.26,EG,1690425758
253,opuwo,-18.0607,13.84,58.57,42,1,3.94,NA,1690425758
254,tibanbang,6.6315,126.1055,82.6,74,100,6.44,PH,1690425758
255,andradina,-20.8961,-51.3794,73.29,42,32,5.68,BR,1690425759
256,ust-nera,64.5667,143.2,58.98,54,96,7.61,RU,1690425759
257,codrington,-38.2667,141.9667,59.56,63,2,17.96,AU,1690425759
258,namibe,-15.1961,12.1522,59.29,91,68,7.74,AO,1690425759
259,cabo san lucas,22.8909,-109.9124,89.62,75,20,10.36,MX,1690425501
260,selfoss,63.9331,-20.9971,50.04,74,100,6.8,IS,1690425759
261,vilyuysk,63.7553,121.6247,71.56,32,99,6.58,RU,1690425759
262,nagqu,31.5,92.0,43.88,80,100,1.23,CN,1690425759
263,priob'ye,62.5206,65.5964,64.06,82,92,5.23,RU,1690425759
264,potosi,-19.5836,-65.7531,37.65,72,0,5.66,BO,1690425760
265,afaahiti,-17.75,-149.2833,75.07,83,61,5.66,PF,1690425760
266,plaza huincul,-38.926,-69.2086,44.15,10,97,5.19,AR,1690425623
267,taulaga,-11.0553,-171.0883,82.09,69,40,14.09,AS,1690425760
268,caleta de carquin,-11.0925,-77.6267,67.3,80,52,8.93,PE,1690425760
269,sanctuary point,-35.1114,150.629,68.32,34,0,7.47,AU,1690425760
270,livingston,55.9029,-3.5226,56.48,98,75,6.91,GB,1690425760
